127.0.0.1 - - [09/Sep/2016:11:17:02 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:17:32 -0700] "GET /Alumni-2/ HTTP/1.1" 200 6177
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:17:34 -0700] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 200 4672
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:17:34 -0700] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 200 2485
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:17:52 -0700] "GET /Alumni-2/css/wallpaper.jpg HTTP/1.1" 200 117379
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:21:25 -0700] "GET /Alumni-2/login.html HTTP/1.1" 200 3712
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:21:25 -0700] "GET /Alumni-2/css/animate.css HTTP/1.1" 200 75599
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:21:25 -0700] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:21:25 -0700] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:21:25 -0700] "GET /Alumni-2/css/normalize.css HTTP/1.1" 200 9566
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:22:24 -0700] "POST /Alumni-2/ProcessRequest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:22:24 -0700] "GET /Alumni-2/index.html HTTP/1.1" 200 6177
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:22:24 -0700] "GET /Alumni-2/css/wallpaper.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:25:41 -0700] "POST /Alumni-2/ProcessRequest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:25:41 -0700] "GET /Alumni-2/login.html HTTP/1.1" 200 3712
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:25:41 -0700] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:25:41 -0700] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:25:41 -0700] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:25:41 -0700] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:26:04 -0700] "POST /Alumni-2/ProcessRequest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:26:04 -0700] "GET /Alumni-2/login.html HTTP/1.1" 200 3712
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:26:48 -0700] "POST /Alumni-2/ProcessRequest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:26:53 -0700] "GET /Alumni-2/JSP/Feed.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:27:17 -0700] "GET /Alumni-2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:27:17 -0700] "GET /Alumni-2/css/wallpaper.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:27:20 -0700] "GET /Alumni-2/addUser.html HTTP/1.1" 200 3416
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:27:25 -0700] "POST /Alumni-2/AllUsers HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:28:51 -0700] "POST /Alumni-2/ProcessRequest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Sep/2016:11:28:51 -0700] "GET /Alumni-2/JSP/Feed.jsp HTTP/1.1" 200 309
