127.0.0.1 - - [15/Sep/2016:10:24:15 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:24:19 +0200] "GET /Alumni-2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:24:24 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:24:24 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:24:24 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:24:27 +0200] "GET /Alumni-2/css/wallpaper.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:24:33 +0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:24:36 +0200] "GET /Alumni-2/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:24:36 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:24:36 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:26:39 +0200] "POST /Alumni-2/ProcessRequest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:26:41 +0200] "GET /Alumni-2/JSP/Feed.jsp HTTP/1.1" 200 17322
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:26:41 +0200] "GET /Alumni-2/css/feed_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:28:31 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:30:22 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:30:36 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:30:38 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:30:57 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:30:59 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:31:29 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:33:11 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:33:13 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:33:33 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:35:30 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:35:48 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:36:05 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:36:08 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:36:39 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:36:40 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:36:41 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:36:50 +0200] "GET /Alumni-2/imdex.html HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:39:12 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:39:49 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:40:06 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:40:46 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:40:59 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:41:00 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:41:22 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:41:23 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:41:24 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:41:24 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:41:25 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:41:25 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:41:37 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:41:54 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:42:38 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:43:39 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:44:37 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:45:38 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:45:58 +0200] "GET /Alumni-2/imdex.html HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:46:12 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:46:35 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:46:45 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:47:09 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:47:18 +0200] "GET /Alumni-2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:49:10 +0200] "GET /Alumni-2/addUser.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:50:45 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:50:45 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:50:45 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
