127.0.0.1 - - [15/Oct/2016:08:19:10 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:20:40 +0200] "GET /Alumni-2/ HTTP/1.1" 200 6153
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:20:46 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 200 5778
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:20:46 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:20:48 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 200 17202
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:20:51 +0200] "GET /Alumni-2/css/wallpaper.jpg HTTP/1.1" 200 117379
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:21:12 +0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:31:55 +0200] "POST /Alumni-2/index HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:31:55 +0200] "GET /Alumni-2/JSP/Login.jsp HTTP/1.1" 200 2400
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:31:56 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 200 9566
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:31:56 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 200 75599
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:32:04 +0200] "POST /Alumni-2/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:32:07 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 38018
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:32:07 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 200 3366
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:32:07 +0200] "GET /Alumni-2/Post HTTP/1.1" 200 48660
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:38:30 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 38018
0:0:0:0:0:0:0:1 - - [15/Oct/2016:08:38:33 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
